iter	Passed	Remaining
253	1783	5237
254	1789	5227
255	1796	5220
256	1802	5211
257	1808	5202
258	1816	5195
259	1822	5186
260	1828	5178
261	1834	5167
262	1842	5162
263	1848	5152
264	1853	5141
265	1860	5132
266	1866	5123
267	1872	5113
268	1877	5103
269	1884	5094
270	1890	5086
271	1896	5076
272	1903	5068
273	1909	5058
274	1914	5047
275	1921	5039
276	1928	5033
277	1934	5023
278	1940	5015
279	1946	5005
280	1952	4997
281	1958	4987
282	1964	4976
283	1970	4967
284	1976	4957
285	1983	4951
286	1988	4940
287	1995	4932
288	2001	4923
289	2007	4914
290	2015	4909
291	2022	4902
292	2029	4896
293	2036	4890
294	2043	4882
295	2052	4880
296	2059	4874
297	2067	4870
298	2073	4861
299	2080	4853
300	2086	4845
301	2093	4839
302	2099	4829
303	2106	4823
304	2113	4815
305	2119	4807
306	2126	4799
307	2132	4791
308	2138	4782
309	2145	4775
310	2151	4767
311	2158	4760
312	2165	4753
313	2171	4744
314	2178	4737
315	2184	4727
316	2189	4718
317	2196	4709
318	2202	4702
319	2208	4693
320	2214	4684
321	2220	4676
322	2226	4667
323	2234	4661
324	2240	4654
325	2249	4650
326	2256	4643
327	2262	4636
328	2268	4627
329	2275	4619
330	2282	4613
331	2288	4605
332	2294	4596
333	2302	4592
334	2309	4584
335	2315	4576
336	2321	4567
337	2328	4559
338	2333	4550
339	2340	4542
340	2347	4537
341	2355	4532
342	2362	4525
343	2369	4518
344	2375	4510
345	2382	4503
346	2389	4497
347	2396	4489
348	2402	4481
349	2408	4472
350	2414	4464
351	2421	4457
352	2427	4448
353	2433	4440
354	2439	4433
355	2446	4425
356	2453	4419
357	2463	4417
358	2471	4413
359	2479	4407
360	2486	4401
361	2494	4396
362	2501	4389
363	2507	4381
364	2514	4374
365	2521	4367
366	2527	4359
367	2534	4353
368	2541	4345
369	2546	4336
370	2552	4328
371	2558	4319
372	2564	4310
373	2570	4303
374	2576	4293
375	2582	4286
376	2588	4278
377	2594	4270
378	2601	4261
379	2606	4253
380	2613	4245
381	2619	4237
382	2625	4229
383	2632	4222
384	2638	4215
385	2645	4207
386	2651	4200
387	2658	4192
388	2664	4184
389	2670	4176
390	2676	4168
391	2682	4160
392	2689	4153
393	2696	4147
394	2703	4140
395	2709	4132
396	2716	4126
397	2724	4120
398	2731	4114
399	2738	4107
400	2745	4100
401	2751	4093
402	2757	4084
403	2763	4077
404	2769	4069
405	2776	4062
406	2782	4054
407	2789	4046
408	2795	4038
409	2801	4031
410	2807	4023
411	2813	4015
412	2819	4007
413	2826	4000
414	2832	3992
415	2838	3984
416	2845	3978
417	2852	3971
418	2860	3966
419	2867	3959
420	2876	3955
421	2883	3949
422	2891	3944
423	2900	3939
424	2906	3932
425	2913	3925
426	2920	3918
427	2927	3912
428	2933	3904
429	2941	3899
430	2948	3892
431	2956	3886
432	2962	3879
433	2969	3872
434	2976	3865
435	2983	3859
436	2990	3852
437	2995	3844
438	3002	3837
439	3008	3829
440	3014	3821
441	3021	3814
442	3028	3807
443	3035	3800
444	3041	3793
445	3046	3784
446	3053	3777
447	3059	3769
448	3065	3761
449	3071	3754
450	3078	3747
451	3084	3739
452	3091	3732
453	3097	3725
454	3103	3717
455	3109	3710
456	3115	3702
457	3122	3694
458	3128	3687
459	3134	3679
460	3141	3673
461	3147	3665
462	3154	3658
463	3160	3650
464	3167	3644
465	3174	3637
466	3181	3631
467	3188	3624
468	3194	3616
469	3201	3610
470	3208	3603
471	3214	3596
472	3220	3588
473	3227	3581
474	3234	3575
475	3241	3568
476	3247	3561
477	3254	3553
478	3260	3546
479	3268	3541
480	3276	3535
481	3283	3528
482	3292	3523
483	3299	3518
484	3307	3512
485	3314	3505
486	3321	3498
487	3328	3491
488	3336	3486
489	3342	3479
490	3349	3472
491	3355	3464
492	3362	3458
493	3369	3451
494	3376	3444
495	3382	3437
496	3389	3430
497	3395	3423
498	3404	3417
499	3412	3412
500	3420	3406
501	3427	3400
502	3438	3397
503	3446	3392
504	3452	3384
505	3460	3378
506	3467	3371
507	3474	3365
508	3481	3358
509	3489	3352
510	3496	3345
511	3502	3338
512	3510	3332
513	3516	3325
514	3524	3318
515	3530	3311
516	3537	3304
517	3543	3297
518	3549	3289
519	3555	3282
520	3562	3275
521	3568	3267
522	3575	3260
523	3581	3253
524	3588	3246
525	3594	3239
526	3602	3233
527	3609	3226
528	3616	3219
529	3623	3213
530	3629	3205
531	3636	3199
532	3643	3192
533	3649	3184
534	3656	3177
535	3663	3171
536	3669	3164
537	3677	3157
538	3685	3151
539	3692	3145
540	3700	3139
541	3707	3132
542	3715	3127
543	3723	3121
544	3729	3113
545	3736	3107
546	3743	3100
547	3749	3092
548	3756	3085
549	3762	3078
550	3769	3071
551	3776	3064
552	3783	3058
553	3789	3050
554	3796	3043
555	3803	3037
556	3810	3030
557	3816	3023
558	3823	3016
559	3830	3009
560	3836	3002
561	3843	2995
562	3850	2988
563	3857	2981
564	3863	2974
565	3870	2967
566	3876	2960
567	3883	2953
568	3889	2946
569	3896	2939
570	3902	2931
571	3908	2924
572	3914	2917
573	3920	2909
574	3926	2902
575	3932	2895
576	3939	2888
577	3946	2881
578	3952	2873
579	3958	2866
580	3964	2859
581	3970	2851
582	3977	2845
583	3983	2837
584	3990	2830
585	3996	2823
586	4002	2815
587	4008	2808
588	4014	2801
589	4020	2794
590	4027	2787
591	4033	2779
592	4039	2772
593	4045	2765
594	4053	2758
595	4059	2751
596	4067	2745
597	4073	2738
598	4082	2733
599	4089	2726
600	4096	2719
601	4104	2713
602	4110	2706
603	4117	2699
604	4124	2692
605	4131	2686
606	4140	2680
607	4146	2673
608	4154	2667
609	4160	2660
610	4166	2652
611	4173	2646
612	4179	2638
613	4185	2631
614	4191	2623
615	4197	2616
616	4203	2609
617	4211	2602
618	4218	2596
619	4225	2589
620	4232	2583
621	4239	2576
622	4247	2570
623	4253	2563
624	4260	2556
625	4266	2549
626	4272	2541
627	4278	2534
628	4284	2526
629	4290	2519
630	4296	2512
631	4302	2505
632	4308	2497
633	4314	2490
634	4320	2483
635	4327	2476
636	4334	2469
637	4341	2463
638	4346	2455
639	4354	2449
640	4362	2443
641	4368	2436
642	4374	2428
643	4381	2421
644	4387	2414
645	4394	2408
646	4400	2400
647	4406	2393
648	4413	2386
649	4420	2380
650	4426	2373
651	4433	2366
652	4440	2359
653	4447	2353
654	4454	2346
655	4462	2340
656	4470	2333
657	4476	2326
658	4485	2320
659	4492	2314
660	4499	2307
661	4508	2301
662	4515	2295
663	4523	2288
664	4530	2282
665	4536	2275
666	4543	2268
667	4549	2261
668	4556	2254
669	4563	2247
670	4571	2241
671	4579	2235
672	4586	2228
673	4593	2221
674	4600	2214
675	4607	2208
676	4614	2201
677	4621	2194
678	4628	2188
679	4634	2180
680	4641	2174
681	4647	2166
682	4653	2159
683	4660	2152
684	4665	2145
685	4672	2138
686	4678	2131
687	4684	2124
688	4690	2117
689	4696	2109
690	4702	2102
691	4708	2095
692	4714	2088
693	4720	2081
694	4726	2074
695	4733	2067
696	4739	2060
697	4746	2053
698	4752	2046
699	4758	2039
700	4764	2032
701	4770	2025
702	4776	2017
703	4782	2010
704	4788	2003
705	4792	1995
706	4798	1988
707	4804	1981
708	4810	1974
709	4816	1967
710	4821	1959
711	4828	1953
712	4834	1945
713	4840	1938
714	4846	1931
715	4851	1924
716	4858	1917
717	4864	1910
718	4870	1903
719	4875	1896
720	4881	1889
721	4887	1882
722	4895	1875
723	4899	1867
724	4900	1858
725	4901	1850
726	4902	1841
727	4903	1832
728	4904	1823
729	4904	1814
730	4905	1805
731	4905	1796
732	4906	1787
733	4907	1778
734	4907	1769
735	4908	1760
736	4909	1751
737	4909	1743
738	4910	1734
739	4911	1725
740	4911	1716
741	4912	1708
742	4913	1699
743	4913	1690
744	4914	1682
745	4914	1673
746	4915	1664
747	4916	1656
748	4916	1647
749	4917	1639
750	4918	1630
751	4918	1622
752	4919	1613
753	4920	1605
754	4920	1596
755	4921	1588
756	4921	1579
757	4922	1571
758	4923	1563
759	4923	1554
760	4924	1546
761	4925	1538
762	4925	1530
763	4926	1521
764	4927	1513
765	4927	1505
766	4928	1497
767	4929	1489
768	4929	1480
769	4930	1472
770	4931	1464
771	4931	1456
772	4932	1448
773	4932	1440
774	4933	1432
775	4934	1424
776	4934	1416
777	4935	1408
778	4936	1400
779	4936	1392
780	4937	1384
781	4938	1376
782	4938	1368
783	4939	1360
784	4940	1353
785	4940	1345
786	4941	1337
787	4942	1329
788	4942	1321
789	4943	1314
790	4944	1306
791	4944	1298
792	4945	1290
793	4945	1283
794	4946	1275
795	4947	1267
796	4947	1260
797	4948	1252
798	4949	1245
799	4949	1237
800	4950	1229
801	4951	1222
802	4951	1214
803	4952	1207
804	4953	1199
805	4953	1192
806	4954	1184
807	4955	1177
808	4955	1169
809	4956	1162
810	4956	1155
811	4957	1147
812	4958	1140
813	4958	1133
814	4959	1125
815	4960	1118
816	4960	1111
817	4961	1103
818	4961	1096
819	4962	1089
820	4963	1082
821	4963	1074
822	4964	1067
823	4965	1060
824	4965	1053
825	4966	1046
826	4967	1039
827	4967	1031
828	4968	1024
829	4969	1017
830	4969	1010
831	4970	1003
832	4970	996
833	4971	989
834	4972	982
835	4972	975
836	4973	968
837	4974	961
838	4974	954
839	4975	947
840	4976	940
841	4976	933
842	4977	926
843	4977	920
844	4978	913
845	4979	906
846	4979	899
847	4980	892
848	4981	885
849	4981	879
850	4982	872
851	4983	865
852	4983	858
853	4984	852
854	4984	845
855	4985	838
856	4986	832
857	4986	825
858	4987	818
859	4988	812
860	4988	805
861	4989	798
862	4989	792
863	4990	785
864	4991	778
865	4991	772
866	4992	765
867	4993	759
868	4993	752
869	4994	746
870	4995	739
871	4995	733
872	4996	726
873	4997	720
874	4997	713
875	4998	707
876	4998	701
877	4999	694
878	5000	688
879	5000	681
880	5001	675
881	5002	669
882	5002	662
883	5003	656
884	5003	650
885	5004	643
886	5005	637
887	5005	631
888	5006	625
889	5007	618
890	5007	612
891	5008	606
892	5009	600
893	5009	594
894	5010	587
895	5011	581
896	5011	575
897	5012	569
898	5013	563
899	5013	557
900	5014	550
901	5015	544
902	5015	538
903	5016	532
904	5016	526
905	5017	520
906	5018	514
907	5018	508
908	5019	502
909	5020	496
910	5020	490
911	5021	484
912	5022	478
913	5022	472
914	5023	466
915	5024	460
916	5024	454
917	5025	448
918	5026	443
919	5026	437
920	5027	431
921	5028	425
922	5028	419
923	5029	413
924	5029	407
925	5030	402
926	5031	396
927	5031	390
928	5032	384
929	5033	378
930	5033	373
931	5034	367
932	5035	361
933	5035	355
934	5036	350
935	5037	344
936	5037	338
937	5038	333
938	5039	327
939	5039	321
940	5040	316
941	5040	310
942	5041	304
943	5042	299
944	5042	293
945	5043	287
946	5044	282
947	5044	276
948	5045	271
949	5046	265
950	5046	260
951	5047	254
952	5047	248
953	5048	243
954	5049	237
955	5049	232
956	5050	226
957	5051	221
958	5051	215
959	5052	210
960	5053	205
961	5053	199
962	5054	194
963	5055	188
964	5055	183
965	5056	177
966	5056	172
967	5057	167
968	5058	161
969	5058	156
970	5059	151
971	5060	145
972	5060	140
973	5061	135
974	5062	129
975	5062	124
976	5063	119
977	5063	113
978	5064	108
979	5065	103
980	5065	98
981	5066	92
982	5067	87
983	5067	82
984	5068	77
985	5069	71
986	5069	66
987	5070	61
988	5071	56
989	5071	51
990	5072	46
991	5072	40
992	5073	35
993	5074	30
994	5074	25
995	5075	20
996	5076	15
997	5076	10
998	5077	5
999	5078	0
